SVI Theme: Overall SVI; Overall SVI (Percentile); NaturalBreaks
Data downloaded on 11-December-2024
County_FIPS,County,State,Diagnosed Diabetes-2021-Percentage,Overall SVI-2018-Percentile
56039,Teton County,Wyoming,4.4,0.1127
30031,Gallatin County,Montana,4.7,0.0427
53055,San Juan County,Washington,4.7,0.0863
08117,Summit County,Colorado,5.1,0.0707
16013,Blaine County,Idaho,5.1,0.3239
08035,Douglas County,Colorado,5.2,0.015
08013,Boulder County,Colorado,5.3,0.1704
08067,La Plata County,Colorado,5.5,0.1086
45013,Beaufort County,South Carolina,5.5,0.4006
49043,Summit County,Utah,5.6,0.05
08015,Chaffee County,Colorado,5.7,0.2389
30057,Madison County,Montana,5.7,0.1726
50025,Windham County,Vermont,5.7,0.3054
56011,Crook County,Wyoming,5.7,0.0328
06057,Nevada County,California,5.8,0.2045
08037,Eagle County,Colorado,5.8,0.1369
30027,Fergus County,Montana,5.8,0.2376
41003,Benton County,Oregon,5.8,0.349
55129,Washburn County,Wisconsin,5.8,0.108
19167,Sioux County,Iowa,5.9,0.2207
25023,Plymouth County,Massachusetts,5.9,0.2303
50007,Chittenden County,Vermont,5.9,0.1831
55025,Dane County,Wisconsin,5.9,0.1688
55069,Lincoln County,Wisconsin,5.9,0.1013
08059,Jefferson County,Colorado,6,0.0627
20131,Nemaha County,Kansas,6,0.0962
33009,Grafton County,New Hampshire,6,0.1882
35028,Los Alamos County,New Mexico,6,0.0248
50001,Addison County,Vermont,6,0.0965
55055,Jefferson County,Wisconsin,6,0.1854
06041,Marin County,California,6.1,0.2701
06061,Placer County,California,6.1,0.1519
19141,O&#39;brien County,Iowa,6.1,0.2322
23015,Lincoln County,Maine,6.1,0.1143
30007,Broadwater County,Montana,6.1,0.042
35049,Santa Fe County,New Mexico,6.1,0.5255
38045,Lamoure County,North Dakota,6.1,0.0443
04025,Yavapai County,Arizona,6.2,0.521
09001,Fairfield County,Connecticut,6.2,0.4497
31083,Harlan County,Nebraska,6.2,0.1239
34019,Hunterdon County,New Jersey,6.2,0.0264
